Name,Lat,Lon,Alt,Vbl,Stat,Units,Min Date,Max Date
Zitenice,50.55,14.16,223,p,noon,hPa,1807-01-01,1807-12-31
Padova,45.40797,11.88586,12,p,mean,hPa,1766-01-01,1809-12-31
Karlsruhe,49.008,8.404121,122,p,mean,hPa,1778-04-21,1868-12-31
Delemont,47.3653,7.34336,432,p,mean,hPa,1801-12-22,1832-12-30
Paris,48.86,2.34,42,p,mean,hPa,1807-01-01,1807-12-31
Zurich,47.37162,8.54398,418,p,mean,hPa,1807-01-01,1827-12-31
Valencia,39.47,-0.38,25,p,noon,hPa,1807-01-01,1807-12-31
Bern,46.94812,7.45196,534,p,mean,hPa,1779-12-20,1827-07-09
Aarau,47.393,8.043,384,p,mean,hPa,1807-01-01,1865-12-31
Schloss Marschlins,46.96,9.58,562,p,mean,hPa,1782-01-01,1865-10-21
St. Petersburg,59.93,30.27,5,p,mean,hPa,1805-01-10,1821-12-31
Rovereto,45.9,11.05,200,p,mean,hPa,1782-03-24,1839-08-26
Schaffhausen,47.696,8.639,400,p,mean,hPa,1794-01-01,1845-10-28
Bern,46.94812,7.45196,534,p,mean,hPa,1805-03-15,1833-11-21
Vevey,46.46015,6.84447,378,p,mean,hPa,1805-12-01,1840-08-15
London,51.5,0,11,p,mean,hPa,1807-01-01,1807-12-31
